X,Y,Test or train,Raw prediction,Cumulative prediction,Cloglog prediction
-123.7626,40.7471,train,0.0022436780652524096,29.86162359786151,0.5864173153663517
-123.751,42.802,train,0.0022436780652524096,29.86162359786151,0.5864173153663517
-124.1602778,42.46083333,train,0.0035943696359180106,63.07015387609887,0.7569288979753653
-123.8127778,40.82,train,0.0028461450346929087,41.36462698132568,0.6737108718086062
-123.9646,42.7788,train,0.0045191595138886044,82.93166579845256,0.8310766848552839
-124.1558333,42.36638889,train,0.0035943696359180106,63.07015387609887,0.7569288979753653
-123.8519444,42.63444444,train,0.0035943696359180106,63.07015387609887,0.7569288979753653
-123.7117,42.9047,train,0.0022436780652524096,29.86162359786151,0.5864173153663517
-123.7903,42.802,train,0.0022436780652524096,29.86162359786151,0.5864173153663517
-123.9236111,42.57222222,train,0.0017608942760729733,29.637258678226562,0.49988646715457985
-123.751,42.9927,train,0.0022436780652524096,29.86162359786151,0.5864173153663517
