Predictor variable,Categorical,Sample average
alt,false,2124.259259259259
alt,false,2124.259259259259
bio1,false,158.62962962962962
bio1,false,158.62962962962962
bio10,false,183.0
bio10,false,183.0
bio11,false,129.59259259259258
bio11,false,129.59259259259258
bio12,false,1066.2592592592594
bio12,false,1066.2592592592594
bio13,false,221.62962962962962
bio13,false,221.62962962962962
bio14,false,12.88888888888889
bio14,false,12.88888888888889
bio15,false,89.07407407407408
bio15,false,89.07407407407408
bio16,false,601.4074074074074
bio16,false,601.4074074074074
bio17,false,47.592592592592595
bio17,false,47.592592592592595
bio18,false,320.74074074074076
bio18,false,320.74074074074076
bio19,false,63.48148148148148
bio19,false,63.48148148148148
bio2,false,146.92592592592592
bio2,false,146.92592592592592
bio3,false,65.70370370370371
bio3,false,65.70370370370371
bio4,false,2078.3703703703704
bio4,false,2078.3703703703704
bio5,false,268.85185185185185
bio5,false,268.85185185185185
bio6,false,44.370370370370374
bio6,false,44.370370370370374
bio7,false,224.4814814814815
bio7,false,224.4814814814815
bio8,false,172.07407407407408
bio8,false,172.07407407407408
bio9,false,147.22222222222223
bio9,false,147.22222222222223
mask,true,50.0
