Tue Dec 27 15:07:34 CST 2022
MaxEnt version 3.4.4
Checking header of /volumes/env/na_2.5min/BIOCLIM_1.asc
Checking header of /volumes/env/na_2.5min/BIOCLIM_12.asc
Checking header of /volumes/env/na_2.5min/BIOCLIM_17.asc
Checking header of /volumes/env/na_2.5min/BIOCLIM_7.asc
Checking header of /volumes/env/na_2.5min/GTOPO30_ELEVATION.asc
Checking header of /volumes/env/na_2.5min/GTOPO30_SLOPE_reduced.asc
Checking header of /volumes/env/na_2.5min/ISRICSOILGRIDS_new_average_coarsefragmentpercent_reduced.asc
Checking header of /volumes/env/na_2.5min/ISRICSOILGRIDS_new_average_phx10percent_reduced.asc
Checking header of /volumes/env/na_2.5min/ISRICSOILGRIDS_new_average_sandpercent_reduced.asc
Checking header of /volumes/env/na_2.5min/ISRICSOILGRIDS_new_average_soilorganiccarboncontent_reduced.asc
Checking header of /volumes/env/na_2.5min/LandCover_1_Needleleaf.asc
Checking header of /volumes/env/na_2.5min/LandCover_6_Herbaceous.asc
Checking header of /volumes/env/na_2.5min/mask.asc
Reading samples from Tiarella_polyphylla.csv
Read samples: max memory 32178700288, total allocated 2118123520, free 2094301648, used 23821872, increment 23821872
Warning: Sample at 139.10654, 36.38635 in Tiarella_polyphylla.csv is outside the bounding box of environmental data, skipping
Warning: Sample at 138.4, 36.55 in Tiarella_polyphylla.csv is outside the bounding box of environmental data, skipping
Warning: Sample at 121.48833, 24.46861 in Tiarella_polyphylla.csv is outside the bounding box of environmental data, skipping
Warning: Sample at 100.01667, 25.76667 in Tiarella_polyphylla.csv is outside the bounding box of environmental data, skipping
Warning: Sample at 139.215556, 36.935 in Tiarella_polyphylla.csv is outside the bounding box of environmental data, skipping
Warning: Sample at 139.197, 36.9158 in Tiarella_polyphylla.csv is outside the bounding box of environmental data, skipping
Warning: Sample at 139.190556, 36.805278 in Tiarella_polyphylla.csv is outside the bounding box of environmental data, skipping
Warning: Sample at 139.304722, 36.916111 in Tiarella_polyphylla.csv is outside the bounding box of environmental data, skipping
Warning: Sample at 141.20628, 40.61333 in Tiarella_polyphylla.csv is outside the bounding box of environmental data, skipping
Warning: Sample at 139.131111, 36.805556 in Tiarella_polyphylla.csv is outside the bounding box of environmental data, skipping
Warning: Sample at 137.383333, 36.433333 in Tiarella_polyphylla.csv is outside the bounding box of environmental data, skipping
Warning: Sample at 141.166897, 42.9688 in Tiarella_polyphylla.csv is outside the bounding box of environmental data, skipping
Warning: Sample at 141.722, 39.436 in Tiarella_polyphylla.csv is outside the bounding box of environmental data, skipping
Warning: Sample at 86.72083, 27.78917 in Tiarella_polyphylla.csv is outside the bounding box of environmental data, skipping
Warning: Sample at 139.174, 36.8353 in Tiarella_polyphylla.csv is outside the bounding box of environmental data, skipping
Warning: Sample at 143.4, 43.6 in Tiarella_polyphylla.csv is outside the bounding box of environmental data, skipping
Warning: Sample at 138.1, 36.8 in Tiarella_polyphylla.csv is outside the bounding box of environmental data, skipping
Warning: Sample at 142.251, 43.0966 in Tiarella_polyphylla.csv is outside the bounding box of environmental data, skipping
Warning: Sample at 98.77161, 27.1675 in Tiarella_polyphylla.csv is outside the bounding box of environmental data, skipping
Warning: Sample at 98.61944, 27.99833 in Tiarella_polyphylla.csv is outside the bounding box of environmental data, skipping
Warning: Sample at 139.325, 36.5853 in Tiarella_polyphylla.csv is outside the bounding box of environmental data, skipping
Warning: Sample at 139.452, 36.7528 in Tiarella_polyphylla.csv is outside the bounding box of environmental data, skipping
Warning: Sample at 138.455, 36.55 in Tiarella_polyphylla.csv is outside the bounding box of environmental data, skipping
Warning: Sample at 137.633333, 36.483333 in Tiarella_polyphylla.csv is outside the bounding box of environmental data, skipping
Warning: Sample at 115.82203, 29.12445 in Tiarella_polyphylla.csv is outside the bounding box of environmental data, skipping
Warning: Sample at 137.616667, 36.216667 in Tiarella_polyphylla.csv is outside the bounding box of environmental data, skipping
Warning: Sample at 117.862, 29.24799 in Tiarella_polyphylla.csv is outside the bounding box of environmental data, skipping
Warning: Sample at 139.208, 36.9556 in Tiarella_polyphylla.csv is outside the bounding box of environmental data, skipping
Warning: Sample at 104.25509, 25.67426 in Tiarella_polyphylla.csv is outside the bounding box of environmental data, skipping
Warning: Sample at 137.0, 36.283333 in Tiarella_polyphylla.csv is outside the bounding box of environmental data, skipping
Warning: Sample at 88.75194, 27.71972 in Tiarella_polyphylla.csv is outside the bounding box of environmental data, skipping
Warning: Sample at 138.711, 37.1214 in Tiarella_polyphylla.csv is outside the bounding box of environmental data, skipping
Warning: Sample at 140.9, 42.9 in Tiarella_polyphylla.csv is outside the bounding box of environmental data, skipping
Warning: Sample at 139.203056, 36.918333 in Tiarella_polyphylla.csv is outside the bounding box of environmental data, skipping
Warning: Sample at 100.03333, 25.71667 in Tiarella_polyphylla.csv is outside the bounding box of environmental data, skipping
Warning: Sample at 137.31245, 36.66252 in Tiarella_polyphylla.csv is outside the bounding box of environmental data, skipping
Warning: Sample at 107.09928, 29.15785 in Tiarella_polyphylla.csv is outside the bounding box of environmental data, skipping
Warning: Sample at 139.58397, 36.75782 in Tiarella_polyphylla.csv is outside the bounding box of environmental data, skipping
Warning: Sample at 136.5632, 36.49758 in Tiarella_polyphylla.csv is outside the bounding box of environmental data, skipping
