X,Y,Test or train,Raw prediction,Cumulative prediction,Cloglog prediction
-117.71222,34.28833,train,0.02687371844100628,54.34574379601062,0.7110759536568456
-117.6142,34.2303,train,0.023505309839583592,21.119528992837918,0.6624250598960848
-116.41667,33.51667,train,0.024914102575057884,28.489520435413652,0.6836972066968732
-118.1071,34.2959,train,0.022032988274589643,14.200838491321562,0.6386633067556607
-118.0835,34.2365,train,0.028315550013044494,81.88273489319123,0.7296952994088942
-117.56036,34.23345,train,0.024460089055010938,25.99787204008767,0.6769924106449328
-117.8547,34.336,train,0.026256726974121063,48.98616940986377,0.7027214931851036
-117.6349,34.29494,train,0.028212337899033248,79.05358893392379,0.728403273874912
-118.1771,34.3762,train,0.029509253846305507,90.56006266460975,0.7441990540838306
-117.90889,34.35028,train,0.031315039423455995,96.74580644430554,0.764674286391526
-118.0374,34.3861,train,0.027584568453470053,73.46814569895633,0.7204106584947991
-117.61222,34.26417,train,0.0272559992713806,62.50229343198776,0.7161340558931036
-117.65552,34.25432,train,0.027208927295291122,59.778315202832,0.7155160409141585
-117.6718,34.2336,train,0.025079307071815188,30.998167463054106,0.6861022311359568
-118.0627,34.2198,train,0.030539314757545916,93.61425760327074,0.7560874425881027
-118.1649,34.2683,train,0.025102758342668847,33.50323803754447,0.6864421461182879
-118.18515,34.26535,train,0.02526833205099795,36.03511630815532,0.6888316072033265
-117.82977,34.34657,train,0.03254298030928066,99.99994781802184,0.7776531546768604
-117.7892,34.3636,train,0.027624210706022143,76.23136765293798,0.7209222604975534
-117.84667,34.31944,train,0.027468466028117495,70.7097471517033,0.7189068997757375
-117.64692,34.20803,train,0.022985852315635578,18.76859295011039,0.6542254532091478
-117.62078,34.19273,train,0.025405131086730766,38.57530375834785,0.6907920661803618
-118.0542,34.4367,train,0.027333504916265572,67.96369180631396,0.7171487151870252
-117.65829,34.21145,train,0.028411024911052612,84.72537454509971,0.7308849961100472
-118.1049,34.2563,train,0.026025634817211867,43.748658644219944,0.6995305421626008
-117.66917,34.30167,train,0.027279056874626225,65.22514855878704,0.7164362925237674
-117.57709,34.20422,train,0.026721398682037743,51.658146591391244,0.7090355320678241
-116.4667,33.5333,train,0.02269431946477541,16.470537033311665,0.6495366767545552
-118.0693,34.2026,train,0.018524827767484403,5.962733301797364,0.5750844022691772
-118.0659,34.3785,train,0.028841335900641935,87.60949975898745,0.7361823793406574
-117.57306,34.27417,train,0.027103169251168957,57.055479805766005,0.7141226159687977
-118.2116,34.3861,train,0.024325623654222934,23.552492354274637,0.6749795026029322
-118.2572,34.3507,train,0.02570154054326179,41.14551381945628,0.6949976212441332
-117.718,34.3122,train,0.021804735393524365,11.997994404109576,0.6348326678083548
-117.50972,34.22833,train,0.026125898707915485,46.36030794909853,0.700919184281748
-116.3277,33.5209,train,0.019056751209387785,7.8681341843386585,0.585399591647531
