associatedsequences,barcodeValue,basisOfRecord,bed,canonicalName,catalogNumber,class,collectionCode,collectionID,collectionName,recordedBy,vernacularName,commonnames,continent,coordinateUncertaintyInMeters,country,isoCountryCode,county,datasetID,eventDate,dateModified,dataQualityScore,earliestAgeOrLowestStage,earliestEonOrLowestEonothem,earliestEpochOrLowestSeries,earliestEraOrLowestErathem,earliestPeriodOrLowestSystem,etag,family,fieldNumber,flags,formation,genus,geologicalContextID,geoPoint,group,hasImage,hasMedia,higherClassification,highestBiostratigraphicZone,individualCount,infraspecificEpithet,institutionCode,institutionID,institutionName,kingdom,latestAgeOrHighestStage,latestEonOrHighestEonothem,latestEpochOrHighestSeries,latestEraOrHighestErathem,latestPeriodOrHighestSystem,lithostratigraphicTerms,locality,lowestBiostratigraphicZone,maximumDepthInMeters,maximumElevationInMeters,mediarecords,member,minimumDepthInMeters,minimumElevationInMeters,municipality,occurrenceID,order,phylum,recordIds,recordNumber,recordset,scientificName,specificEpithet,startDayOfYear,stateProvince,taxonID,taxonomicStatus,taxonRank,typeStatus,uuid,verbatimEventDate,verbatimLocality,version,waterBody,species_name,x,y
,,preservedspecimen,,heuchera,can 525690,magnoliopsida,can,http://grbio.org/cool/4w1m-4a6d,,"smith, harlan i.",,,north america,,canada,can,range 3 coast land distr.,7ddf754f-d193-4cc9-b351-99906754a03b,1920-06-28,2022-03-11T03:14:50.049242+00:00,0.2463768115942029,,,,,,07cd4da402e47276b3e5757f090ef097d04d8979,saxifragaceae,,"['geopoint_datum_missing', 'rev_geocode_eez', 'geopoint_low_precision', 'dwc_order_replaced', 'dwc_taxonrank_replaced', 'dwc_taxonomicstatus_added', 'gbif_genericname_added', 'gbif_taxon_corrected', 'dwc_continent_added', 'dwc_phylum_replaced', 'dwc_taxonid_added', 'idigbio_isocountrycode_added', 'dwc_multimedia_added', 'gbif_vernacularname_added', 'gbif_canonicalname_added', 'dwc_scientificnameauthorship_replaced', 'dwc_parentnameusageid_added', 'dwc_datasetid_replaced']",,heuchera,,"{'lat': 52.3833, 'lon': -126.75}",,false,false,plantae; magnoliophyta; magnoliopsida; rosidae; rosales; saxifragaceae; heuchera;,,1.0,,cmn,http://biocol.org/urn:lsid:biocol.org:col:34935,,plantae,,,,,,,,,,,,,,,bella coola,d4ce2ccb-f696-6964-03b2-3ec04ab03c74,saxifragales,tracheophyta,['8057906f-17c9-4e25-b173-4e7fb938078b\\\\d4ce2ccb-f696-6964-03b2-3ec04ab03c74'],163 (80),8057906f-17c9-4e25-b173-4e7fb938078b,heuchera micrantha dougl. ex lindl.,,180,british columbia (prov.),3032645,accepted,genus,,2e92b439-7997-4b83-b8e0-92774a085e6b,1920-06-28,,,,Heuchera micrantha dougl. ex lindl.,-126.75,52.3833
,,preservedspecimen,,heuchera,can 66845,magnoliopsida,can,http://grbio.org/cool/4w1m-4a6d,,"laing, h.m.",,,north america,,canada,can,range 3 coast land distr.,7ddf754f-d193-4cc9-b351-99906754a03b,1938-08-01,2022-03-11T03:14:50.049242+00:00,0.2463768115942029,,,,,,38e074dbd7d177e7b13a05472fd4902ffad98e1f,saxifragaceae,,"['geopoint_datum_missing', 'rev_geocode_eez', 'geopoint_low_precision', 'dwc_order_replaced', 'dwc_taxonrank_replaced', 'dwc_taxonomicstatus_added', 'gbif_genericname_added', 'gbif_taxon_corrected', 'dwc_continent_added', 'dwc_parentnameusageid_added', 'dwc_phylum_replaced', 'dwc_taxonid_added', 'idigbio_isocountrycode_added', 'dwc_multimedia_added', 'gbif_vernacularname_added', 'gbif_canonicalname_added', 'dwc_scientificnameauthorship_replaced', 'dwc_datasetid_replaced']",,heuchera,,"{'lat': 52.3833, 'lon': -126.75}",,false,false,plantae; magnoliophyta; magnoliopsida; rosidae; rosales; saxifragaceae; heuchera;,,1.0,,cmn,http://biocol.org/urn:lsid:biocol.org:col:34935,,plantae,,,,,,,,,,,,,,,bella coola,5d2194ea-ae73-e734-41b6-f698648addb7,saxifragales,tracheophyta,['8057906f-17c9-4e25-b173-4e7fb938078b\\\\5d2194ea-ae73-e734-41b6-f698648addb7'],526,8057906f-17c9-4e25-b173-4e7fb938078b,heuchera micrantha dougl. ex lindl.,,213,british columbia (prov.),3032645,accepted,genus,,63d1852c-23c5-47bf-aa0b-0f1aa19f9b70,1938-08-01,,,,Heuchera micrantha dougl. ex lindl.,-126.75,52.3833
