associatedsequences,barcodeValue,basisOfRecord,bed,canonicalName,catalogNumber,class,collectionCode,collectionID,collectionName,recordedBy,vernacularName,commonnames,continent,coordinateUncertaintyInMeters,country,isoCountryCode,county,datasetID,eventDate,dateModified,dataQualityScore,earliestAgeOrLowestStage,earliestEonOrLowestEonothem,earliestEpochOrLowestSeries,earliestEraOrLowestErathem,earliestPeriodOrLowestSystem,etag,family,fieldNumber,flags,formation,genus,geologicalContextID,geoPoint,group,hasImage,hasMedia,higherClassification,highestBiostratigraphicZone,individualCount,infraspecificEpithet,institutionCode,institutionID,institutionName,kingdom,latestAgeOrHighestStage,latestEonOrHighestEonothem,latestEpochOrHighestSeries,latestEraOrHighestErathem,latestPeriodOrHighestSystem,lithostratigraphicTerms,locality,lowestBiostratigraphicZone,maximumDepthInMeters,maximumElevationInMeters,mediarecords,member,minimumDepthInMeters,minimumElevationInMeters,municipality,occurrenceID,order,phylum,recordIds,recordNumber,recordset,scientificName,specificEpithet,startDayOfYear,stateProvince,taxonID,taxonomicStatus,taxonRank,typeStatus,uuid,verbatimEventDate,verbatimLocality,version,waterBody,species_name,x,y
,,preservedspecimen,,heuchera,137089,magnoliopsida,alta-vp,urn:lsid:biocol.org:col:35062,,"scotter, george w. | sommerfeldt, barbara",,,north america,2368.0,canada,can,,7ddf754f-d193-4cc9-b351-99906754a03b,1995-05-27,2022-07-06T12:13:08.942630+00:00,0.30434782608695654,,,,,,2ce3b2c448e52b219f663ca5f48477258634a1ca,saxifragaceae,,"['geopoint_datum_error', 'dwc_taxonrank_replaced', 'gbif_genericname_added', 'dwc_datasetid_added', 'gbif_taxon_corrected', 'dwc_parentnameusageid_added', 'dwc_phylum_replaced', 'dwc_taxonid_added', 'idigbio_isocountrycode_added', 'gbif_vernacularname_added', 'gbif_canonicalname_added', 'dwc_scientificnameauthorship_added', 'dwc_class_replaced', 'dwc_taxonomicstatus_added', 'dwc_multimedia_added']",,heuchera,,"{'lat': 49.016667, 'lon': -113.016667}",,false,false,plantae | flowering plants | eudicots | saxifragales | saxifragaceae | heuchera,,1.0,heuchera parvifolia nutt. ex torr. & a. gray,university of alberta museums,,,plantae,,,,,,,sommerfeldt ranch,,,,,,,,,urn:catalog:alta-vp:137089,saxifragales,tracheophyta,['0ed8a17e-149b-4cbe-8383-7676da92ea1c\\\\urn:catalog:alta-vp:137089'],,0ed8a17e-149b-4cbe-8383-7676da92ea1c,heuchera parvifolia nutt. ex torr. & a. gray,heuchera parvifolia nutt. ex torr. & a. gray,147,alberta,3032645,accepted,genus,,f7aa4915-0d6d-4860-835d-0f0b8172938e,1995-05-27/1995-05-28,"sommerfeldt ranch, whiskey gap, alberta. foothills rough fescue grassland and foothills parkland.",,,Heuchera parvifolia nutt. ex torr. & a. gray,-113.016667,49.016667
,,preservedspecimen,,heuchera,137223,magnoliopsida,alta-vp,urn:lsid:biocol.org:col:35062,,"scotter, george w. | sommerfeldt, barbara",,,north america,2368.0,canada,can,,7ddf754f-d193-4cc9-b351-99906754a03b,1996-06-01,2022-07-06T12:13:08.942630+00:00,0.30434782608695654,,,,,,a382488cfdd6aae98510a8ca93152020040a44a1,saxifragaceae,,"['geopoint_datum_error', 'dwc_taxonrank_replaced', 'gbif_genericname_added', 'dwc_datasetid_added', 'gbif_taxon_corrected', 'dwc_parentnameusageid_added', 'dwc_phylum_replaced', 'dwc_taxonid_added', 'idigbio_isocountrycode_added', 'gbif_vernacularname_added', 'gbif_canonicalname_added', 'dwc_scientificnameauthorship_added', 'dwc_class_replaced', 'dwc_taxonomicstatus_added', 'dwc_multimedia_added']",,heuchera,,"{'lat': 49.016667, 'lon': -113.016667}",,false,false,plantae | flowering plants | eudicots | saxifragales | saxifragaceae | heuchera,,1.0,heuchera parvifolia nutt. ex torr. & a. gray,university of alberta museums,,,plantae,,,,,,,sommerfeldt ranch,,,,,,,,,urn:catalog:alta-vp:137223,saxifragales,tracheophyta,['0ed8a17e-149b-4cbe-8383-7676da92ea1c\\\\urn:catalog:alta-vp:137223'],,0ed8a17e-149b-4cbe-8383-7676da92ea1c,heuchera parvifolia nutt. ex torr. & a. gray,heuchera parvifolia nutt. ex torr. & a. gray,153,alberta,3032645,accepted,genus,,f36a52f8-5ef1-4107-a53a-6152da6fab74,1996-06-01/1996-06-02,"sommerfeldt ranch, whiskey gap, alberta. foothills rough fescue grassland and foothills parkland.",,,Heuchera parvifolia nutt. ex torr. & a. gray,-113.016667,49.016667
