associatedsequences,barcodeValue,basisOfRecord,bed,canonicalName,catalogNumber,class,collectionCode,collectionID,collectionName,recordedBy,vernacularName,commonnames,continent,coordinateUncertaintyInMeters,country,isoCountryCode,county,datasetID,eventDate,dateModified,dataQualityScore,earliestAgeOrLowestStage,earliestEonOrLowestEonothem,earliestEpochOrLowestSeries,earliestEraOrLowestErathem,earliestPeriodOrLowestSystem,etag,family,fieldNumber,flags,formation,genus,geologicalContextID,geoPoint,group,hasImage,hasMedia,higherClassification,highestBiostratigraphicZone,individualCount,infraspecificEpithet,institutionCode,institutionID,institutionName,kingdom,latestAgeOrHighestStage,latestEonOrHighestEonothem,latestEpochOrHighestSeries,latestEraOrHighestErathem,latestPeriodOrHighestSystem,lithostratigraphicTerms,locality,lowestBiostratigraphicZone,maximumDepthInMeters,maximumElevationInMeters,mediarecords,member,minimumDepthInMeters,minimumElevationInMeters,municipality,occurrenceID,order,phylum,recordIds,recordNumber,recordset,scientificName,specificEpithet,startDayOfYear,stateProvince,taxonID,taxonomicStatus,taxonRank,typeStatus,uuid,verbatimEventDate,verbatimLocality,version,waterBody,species_name,x,y
,,preservedspecimen,,heuchera longipetala,2034195,magnoliopsida,mo,http://biocol.org/urn:lsid:biocol.org:col:15859,,george b. hinton|james c. hinton,,,north america,,mexico,mex,,7ddf754f-d193-4cc9-b351-99906754a03b,,2020-07-24T21:35:50.192791+00:00,0.2318840579710145,,,,,,10a63c8ac6119989d7a2b5ee1f98690d92d133f7,saxifragaceae,2471,"['geopoint_datum_missing', 'dwc_taxonrank_added', 'dwc_multimedia_added', 'dwc_phylum_added', 'dwc_taxonid_replaced', 'idigbio_isocountrycode_added', 'dwc_taxonomicstatus_added', 'gbif_genericname_added', 'dwc_continent_replaced', 'gbif_taxon_corrected', 'dwc_order_added', 'dwc_scientificnameauthorship_replaced', 'dwc_datasetid_added', 'gbif_canonicalname_added', 'gbif_reference_added', 'gbif_vernacularname_added', 'dwc_parentnameusageid_added', 'dwc_class_added']",,heuchera,,"{'lat': 17.4666667, 'lon': -100.15}",,false,false,,,1.0,orizabensis,mo,,,plantae,,,,,,,teotepec. district mina,,,,,,,3200.0,,urn:catalog:mo:tropicos:2034195,saxifragales,tracheophyta,['5386d272-06c6-4027-b5d5-d588c2afe5e5\\\\urn:catalog:mo:tropicos:2034195'],hinton 14265,5386d272-06c6-4027-b5d5-d588c2afe5e5,heuchera longipetala var. orizabensis (hemsl.) r.a. folk,longipetala,137,guerrero,3755546,accepted,species,,9b762c34-f2ef-4b5b-a29f-ce1f242577d8,,,,,Heuchera longipetala var. orizabensis (hemsl.) r.a. folk,-100.15,17.4666667
,,preservedspecimen,,heuchera longipetala,63074,magnoliopsida,mo,http://biocol.org/urn:lsid:biocol.org:col:15859,,thomas b. croat|dylan p. hannon,,,north america,,mexico,mex,,7ddf754f-d193-4cc9-b351-99906754a03b,,2019-07-13T21:07:03.051928+00:00,0.2318840579710145,,,,,,fa4032879eb2023376d913de21272b8c0698120a,saxifragaceae,87-193,"['geopoint_datum_missing', 'dwc_taxonrank_added', 'dwc_multimedia_added', 'dwc_phylum_added', 'dwc_taxonid_replaced', 'idigbio_isocountrycode_added', 'dwc_taxonomicstatus_added', 'gbif_genericname_added', 'dwc_continent_replaced', 'gbif_taxon_corrected', 'dwc_order_added', 'dwc_scientificnameauthorship_replaced', 'dwc_datasetid_added', 'gbif_canonicalname_added', 'gbif_reference_added', 'gbif_vernacularname_added', 'dwc_parentnameusageid_added', 'dwc_class_added']",,heuchera,,"{'lat': 20.96, 'lon': -98.56}",,false,false,,,3.0,orizabensis,mo,,,plantae,,,,,,,"along highway 105 between pachuca and tampico, 27.2 miles s of huejutla, 1.2 miles s of quebradora, 0.9 miles n of santa maria.",,,,,,,1315.0,,urn:catalog:mo:tropicos:63074,saxifragales,tracheophyta,['5386d272-06c6-4027-b5d5-d588c2afe5e5\\\\urn:catalog:mo:tropicos:63074'],croat 65975,5386d272-06c6-4027-b5d5-d588c2afe5e5,heuchera longipetala var. orizabensis (hemsl.) r.a. folk,longipetala,59,hidalgo,3755546,accepted,species,,19dc199e-3210-46f7-b741-cbc72f0f607f,,,,,Heuchera longipetala var. orizabensis (hemsl.) r.a. folk,-98.56,20.96
