associatedsequences,barcodeValue,basisOfRecord,bed,canonicalName,catalogNumber,class,collectionCode,collectionID,collectionName,recordedBy,vernacularName,commonnames,continent,coordinateUncertaintyInMeters,country,isoCountryCode,county,datasetID,eventDate,dateModified,dataQualityScore,earliestAgeOrLowestStage,earliestEonOrLowestEonothem,earliestEpochOrLowestSeries,earliestEraOrLowestErathem,earliestPeriodOrLowestSystem,etag,family,fieldNumber,flags,formation,genus,geologicalContextID,geoPoint,group,hasImage,hasMedia,higherClassification,highestBiostratigraphicZone,individualCount,infraspecificEpithet,institutionCode,institutionID,institutionName,kingdom,latestAgeOrHighestStage,latestEonOrHighestEonothem,latestEpochOrHighestSeries,latestEraOrHighestErathem,latestPeriodOrHighestSystem,lithostratigraphicTerms,locality,lowestBiostratigraphicZone,maximumDepthInMeters,maximumElevationInMeters,mediarecords,member,minimumDepthInMeters,minimumElevationInMeters,municipality,occurrenceID,order,phylum,recordIds,recordNumber,recordset,scientificName,specificEpithet,startDayOfYear,stateProvince,taxonID,taxonomicStatus,taxonRank,typeStatus,uuid,verbatimEventDate,verbatimLocality,version,waterBody,species_name,x,y
,,preservedspecimen,,heuchera cylindrica alpina,u.1733614,magnoliopsida,botany,,,stolze rg,,,north america,,united states,usa,,7ddf754f-d193-4cc9-b351-99906754a03b,1966-07-20,2020-09-09T13:13:10.968983+00:00,0.18840579710144928,,,,,,cb0f82cb264b103b2fa8b38566cccf0b8e3b2bb1,saxifragaceae,,"['geopoint_low_precision', 'dwc_country_replaced', 'dwc_multimedia_added', 'dwc_phylum_added', 'dwc_taxonrank_replaced', 'dwc_specificepithet_replaced', 'dwc_taxonomicstatus_added', 'gbif_genericname_added', 'dwc_datasetid_added', 'gbif_taxon_corrected', 'dwc_scientificnameauthorship_replaced', 'dwc_parentnameusageid_added', 'dwc_infraspecificepithet_added', 'dwc_taxonid_added', 'idigbio_isocountrycode_added', 'gbif_vernacularname_added', 'gbif_canonicalname_added', 'dwc_class_replaced', 'gbif_reference_added']",,heuchera,,"{'lat': 45.166667, 'lon': -109.5}",,true,true,plantae|magnoliopsidae|saxifragales|saxifragaceae,,,alpina,,naturalis biodiversity center,,plantae,,,,,,,"montana, along west fork of rock creek, through canyon separating silver run and red lodge plateaus, at end of forest service road no. 71, 15 miles west of red lodge.",,,,d83d1bd4-a850-4dba-ba8c-5154bca39652,,,,,https://data.biodiversitydata.nl/naturalis/specimen/u.1733614,saxifragales,tracheophyta,"['fabcdc12-9d29-4bd2-912b-176e71818144\\\\https://data.biodiversitydata.nl/naturalis/specimen/u.1733614', 'fabcdc12-9d29-4bd2-912b-176e71818144\\\\u.1733614@brahms']","stolze, rg  1206",fabcdc12-9d29-4bd2-912b-176e71818144,heuchera ovalifolia torr. & a.gray,cylindrica,201,,3753062,accepted,variety,,9d891000-1913-4b95-9ee0-99f72bb946b6,,,,,Heuchera ovalifolia torr. & a.gray,-109.5,45.166667
,,preservedspecimen,,heuchera cylindrica alpina,u.1733615,magnoliopsida,botany,,,stolze rg,,,north america,,united states,usa,,7ddf754f-d193-4cc9-b351-99906754a03b,1966-07-14,2022-02-07T13:03:16.853440+00:00,0.2028985507246377,,,,,,25e84c343af4f9196b189cfa55dee2b5e802f6e3,saxifragaceae,,"['dwc_country_replaced', 'dwc_multimedia_added', 'dwc_phylum_added', 'dwc_taxonrank_replaced', 'dwc_specificepithet_replaced', 'dwc_taxonomicstatus_added', 'gbif_genericname_added', 'dwc_datasetid_added', 'gbif_taxon_corrected', 'dwc_scientificnameauthorship_replaced', 'dwc_parentnameusageid_added', 'dwc_infraspecificepithet_added', 'dwc_taxonid_added', 'idigbio_isocountrycode_added', 'gbif_vernacularname_added', 'gbif_canonicalname_added', 'dwc_class_replaced', 'gbif_reference_added']",,heuchera,,"{'lat': 44.933333, 'lon': -109.783333}",,true,true,plantae|magnoliopsidae|saxifragales|saxifragaceae,,,alpina,,naturalis biodiversity center,,plantae,,,,,,,"wyoming, pine-spruce forest along clark's fork river, 1? miles west of crazy creek, off u.s. route 212, 11 miles southeast of cooke city, montana.",,,,109d9b32-0cb5-4bd0-8274-063ddcbe5005,,,,,https://data.biodiversitydata.nl/naturalis/specimen/u.1733615,saxifragales,tracheophyta,"['fabcdc12-9d29-4bd2-912b-176e71818144\\\\https://data.biodiversitydata.nl/naturalis/specimen/u.1733615', 'fabcdc12-9d29-4bd2-912b-176e71818144\\\\u.1733615@brahms']","stolze, rg  1147",fabcdc12-9d29-4bd2-912b-176e71818144,heuchera ovalifolia torr. & a.gray,cylindrica,195,,3753062,accepted,variety,,2ceb3003-de5d-44ef-ae5d-dfe2531c0afc,,,,,Heuchera ovalifolia torr. & a.gray,-109.783333,44.933333
