gbifID,abstract,accessRights,accrualMethod,accrualPeriodicity,accrualPolicy,alternative,audience,available,bibliographicCitation,conformsTo,contributor,coverage,created,creator,date,dateAccepted,dateCopyrighted,dateSubmitted,description,educationLevel,extent,format,hasFormat,hasPart,hasVersion,identifier,instructionalMethod,isFormatOf,isPartOf,isReferencedBy,isReplacedBy,isRequiredBy,isVersionOf,issued,language,license,mediator,medium,modified,provenance,publisher,references,relation,replaces,requires,rights,rightsHolder,source,spatial,subject,tableOfContents,temporal,title,type,valid,institutionID,collectionID,datasetID,institutionCode,collectionCode,datasetName,ownerInstitutionCode,basisOfRecord,informationWithheld,dataGeneralizations,dynamicProperties,occurrenceID,catalogNumber,recordNumber,recordedBy,recordedByID,individualCount,organismQuantity,organismQuantityType,sex,lifeStage,reproductiveCondition,behavior,establishmentMeans,degreeOfEstablishment,pathway,georeferenceVerificationStatus,occurrenceStatus,preparations,disposition,associatedOccurrences,associatedReferences,associatedSequences,associatedTaxa,otherCatalogNumbers,occurrenceRemarks,organismID,organismName,organismScope,associatedOrganisms,previousIdentifications,organismRemarks,materialSampleID,eventID,parentEventID,fieldNumber,eventDate,eventTime,startDayOfYear,endDayOfYear,year,month,day,verbatimEventDate,habitat,samplingProtocol,sampleSizeValue,sampleSizeUnit,samplingEffort,fieldNotes,eventRemarks,locationID,higherGeographyID,higherGeography,continent,waterBody,islandGroup,island,countryCode,stateProvince,county,municipality,locality,verbatimLocality,verbatimElevation,verticalDatum,verbatimDepth,minimumDistanceAboveSurfaceInMeters,maximumDistanceAboveSurfaceInMeters,locationAccordingTo,locationRemarks,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,coordinatePrecision,pointRadiusSpatialFit,verbatimCoordinateSystem,verbatimSRS,footprintWKT,footprintSRS,footprintSpatialFit,georeferencedBy,georeferencedDate,georeferenceProtocol,georeferenceSources,georeferenceRemarks,geologicalContextID,earliestEonOrLowestEonothem,latestEonOrHighestEonothem,earliestEraOrLowestErathem,latestEraOrHighestErathem,earliestPeriodOrLowestSystem,latestPeriodOrHighestSystem,earliestEpochOrLowestSeries,latestEpochOrHighestSeries,earliestAgeOrLowestStage,latestAgeOrHighestStage,lowestBiostratigraphicZone,highestBiostratigraphicZone,lithostratigraphicTerms,group,formation,member,bed,identificationID,verbatimIdentification,identificationQualifier,typeStatus,identifiedBy,identifiedByID,dateIdentified,identificationReferences,identificationVerificationStatus,identificationRemarks,taxonID,scientificNameID,acceptedNameUsageID,parentNameUsageID,originalNameUsageID,nameAccordingToID,namePublishedInID,taxonConceptID,scientificName,acceptedNameUsage,parentNameUsage,originalNameUsage,nameAccordingTo,namePublishedIn,namePublishedInYear,higherClassification,kingdom,phylum,class,order,family,subfamily,genus,genericName,subgenus,infragenericEpithet,specificEpithet,infraspecificEpithet,cultivarEpithet,taxonRank,verbatimTaxonRank,vernacularName,nomenclaturalCode,taxonomicStatus,nomenclaturalStatus,taxonRemarks,datasetKey,publishingCountry,lastInterpreted,elevation,elevationAccuracy,depth,depthAccuracy,distanceAboveSurface,distanceAboveSurfaceAccuracy,issue,mediaType,hasCoordinate,hasGeospatialIssues,taxonKey,acceptedTaxonKey,kingdomKey,phylumKey,classKey,orderKey,familyKey,genusKey,subgenusKey,speciesKey,species,acceptedScientificName,verbatimScientificName,typifiedName,protocol,lastParsed,lastCrawled,repatriated,relativeOrganismQuantity,level0Gid,level0Name,level1Gid,level1Name,level2Gid,level2Name,level3Gid,level3Name,iucnRedListCategory,species_name,x,y
2234672951,,,,,,,,,,,,,,,,,,,,,,,,,,9740761,,,,,,,,,,CC_BY_4_0,,,2022-03-07T14:35:43Z,,,https://sernecportal.org/portal/collections/individual/index.php?occid=9740761,,,,http://creativecommons.org/licenses/by-nc/3.0/,,,,,,,,,,,17f2d0fa-39a6-4465-8055-1d6fc12eeda2,,NCU,Vascular Plants,,,PRESERVED_SPECIMEN,,,,dbbb9798-9d0b-4a22-8711-de0a7bc80a34,NCU00197644,8310,"Cronquist, Arthur",,,,,,,,,,,,,PRESENT,,,,,,,NCU Accession #: 223705,"Hypanthium and sepals more or less tinted with pinkish, or the sepals white with greenish tip; petals white",,,,,,,,,,,1959-05-31T00:00:00,,151,,1959,5,31,,Forming mats in crevices of serpentine cliffs,,,,,,,,,,,,,,US,Oregon,Harney,,"along Van Horn Creek, 5 miles north of Denio.",,4400 feet,,,,,,,42.046938,-118.615794,1000.0,,,,,,,,,,,GeoLocate,lat/long on original label,,,,,,,,,,,,,,,,,,,,,,,"Cronquist, Arthur",,1959-01-01T00:00:00,,,,86764,,,,,,,,"Heuchera rubescens var. truncata Rosend., Butters & Lakela",,,,,,,Plantae|Magnoliophyta|Eudicots|Core Eudicots|Saxifragales|Saxifragaceae|Heuchera|Heuchera rubescens,Plantae,Tracheophyta,Magnoliopsida,Saxifragales,Saxifragaceae,,Heuchera,Heuchera,,,rubescens,truncata,,VARIETY,var.,,,ACCEPTED,,,27b4ff4b-29c3-4017-9c48-3750861392f7,US,2022-05-06T13:00:40.657Z,1341.0,,,,,,INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH,,true,false,3754504,3754504,6,7707728,220,7219248,2402,3032645,,3032671,Heuchera rubescens,"Heuchera rubescens var. truncata Rosend., Butters & Lakela",Heuchera rubescens var. truncata,,DWC_ARCHIVE,2022-05-06T13:00:40.657Z,2022-05-06T12:51:20.083Z,false,,USA,United States,USA.38_1,Oregon,USA.38.13_1,Harney,,,,"Heuchera rubescens var. truncata rosend., butters & lakela",-118.615794,42.046938
51850699,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CC0_1_0,,,,,,,,,,,,,,,,,,,,,,,OSC,OSC,,,PRESERVED_SPECIMEN,,,,,OSC195341,,Mildred Arnot,,,,,,,,,,,,,PRESENT,,,,,,,,,,,,,,,,,,,1996-06-08T00:00:00,,,,1996,6,8,,,,,,,,,,,,NORTH_AMERICA,,,,US,Oregon,Lake,,mouth of DeGarmo Canyon. Along creek. Hart Mountain National Antelope Refuge.,,,,,,,,,42.5,-119.8333,804.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Chambers, H.",,2002-01-01T00:00:00,,,,,,,,,,,,"Heuchera rubescens var. truncata Rosend., Butters & Lakela",,,,,,,,Plantae,Tracheophyta,Magnoliopsida,Saxifragales,Saxifragaceae,,Heuchera,Heuchera,,,rubescens,truncata,,VARIETY,,,,ACCEPTED,,,84aa5ee4-f762-11e1-a439-00145eb45e9a,US,2022-04-26T10:51:22.372Z,1480.0,0.0,,,,,GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY,,true,false,3754504,3754504,6,7707728,220,7219248,2402,3032645,,3032671,Heuchera rubescens,"Heuchera rubescens var. truncata Rosend., Butters & Lakela",Heuchera rubescens var. truncata,,DIGIR,2022-04-26T10:51:22.372Z,2022-04-22T06:42:35.313Z,false,,USA,United States,USA.38_1,Oregon,USA.38.19_1,Lake,,,,"Heuchera rubescens var. truncata rosend., butters & lakela",-119.8333,42.5
51850392,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CC0_1_0,,,,,,,,,,,,,,,,,,,,,,,OSC,OSC,,,PRESERVED_SPECIMEN,,,,,OSC113257,,Arthur Cronquist,,,,,,,,,,,,,PRESENT,,,,,,,,,,,,,,,,,,,1959-05-31T00:00:00,,,,1959,5,31,,,,,,,,,,,,NORTH_AMERICA,,,,US,Oregon,Harney,,"along Van Horn Creek, 5 miles north of Denio.",,,,,,,,,42.0419,-118.6129,804.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Chambers, H.",,2002-01-01T00:00:00,,,,,,,,,,,,"Heuchera rubescens var. truncata Rosend., Butters & Lakela",,,,,,,,Plantae,Tracheophyta,Magnoliopsida,Saxifragales,Saxifragaceae,,Heuchera,Heuchera,,,rubescens,truncata,,VARIETY,,,,ACCEPTED,,,84aa5ee4-f762-11e1-a439-00145eb45e9a,US,2022-04-26T10:51:22.135Z,1341.12,0.0,,,,,GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY,,true,false,3754504,3754504,6,7707728,220,7219248,2402,3032645,,3032671,Heuchera rubescens,"Heuchera rubescens var. truncata Rosend., Butters & Lakela",Heuchera rubescens var. truncata,,DIGIR,2022-04-26T10:51:22.135Z,2022-04-22T06:42:35.313Z,false,,USA,United States,USA.38_1,Oregon,USA.38.13_1,Harney,,,,"Heuchera rubescens var. truncata rosend., butters & lakela",-118.6129,42.0419
51850006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CC0_1_0,,,,,,,,,,,,,,,,,,,,,,,OSC,ORE,,,PRESERVED_SPECIMEN,,,,,ORE42125,,Robin Drews,,,,,,,,,,,,,PRESENT,,,,,,,,,,,,,,,,,,,1937-06-25T00:00:00,,,,1937,6,25,,,,,,,,,,,,NORTH_AMERICA,,,,US,Oregon,Harney,,"open sagebrush slope, near? Catlow Valley.",,,,,,,,,42.5703,-119.0849,40233.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,person unknown,,2004-05-06T00:00:00,,,,,,,,,,,,"Heuchera rubescens var. truncata Rosend., Butters & Lakela",,,,,,,,Plantae,Tracheophyta,Magnoliopsida,Saxifragales,Saxifragaceae,,Heuchera,Heuchera,,,rubescens,truncata,,VARIETY,,,,ACCEPTED,,,84aa5ee4-f762-11e1-a439-00145eb45e9a,US,2022-04-26T10:51:19.061Z,,,,,,,GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH,,true,false,3754504,3754504,6,7707728,220,7219248,2402,3032645,,3032671,Heuchera rubescens,"Heuchera rubescens var. truncata Rosend., Butters & Lakela",Heuchera rubescens var. truncata,,DIGIR,2022-04-26T10:51:19.061Z,2022-04-22T06:42:35.313Z,false,,USA,United States,USA.38_1,Oregon,USA.38.13_1,Harney,,,,"Heuchera rubescens var. truncata rosend., butters & lakela",-119.0849,42.5703
51849788,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CC0_1_0,,,,,,,,,,,,,,,,,,,,,,,OSC,ORE,,,PRESERVED_SPECIMEN,,,,,ORE107052,,Patricia Sanford,,,,,,,,,,,,,PRESENT,,,,,,,,,,,,,,,,,,,1980-09-12T00:00:00,,,,1980,9,12,,,,,,,,,,,,NORTH_AMERICA,,,,US,Oregon,Malheur,,intermittent unnamed tributary to Antelope Creek just W of Antelope Corrals.,,,,,,,,,42.4433,-117.3433,804.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,person unknown,,2002-04-06T00:00:00,,,,,,,,,,,,"Heuchera rubescens var. truncata Rosend., Butters & Lakela",,,,,,,,Plantae,Tracheophyta,Magnoliopsida,Saxifragales,Saxifragaceae,,Heuchera,Heuchera,,,rubescens,truncata,,VARIETY,,,,ACCEPTED,,,84aa5ee4-f762-11e1-a439-00145eb45e9a,US,2022-04-26T10:51:22.028Z,,,,,,,GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH,,true,false,3754504,3754504,6,7707728,220,7219248,2402,3032645,,3032671,Heuchera rubescens,"Heuchera rubescens var. truncata Rosend., Butters & Lakela",Heuchera rubescens var. truncata,,DIGIR,2022-04-26T10:51:22.028Z,2022-04-22T06:42:35.313Z,false,,USA,United States,USA.38_1,Oregon,USA.38.23_1,Malheur,,,,"Heuchera rubescens var. truncata rosend., butters & lakela",-117.3433,42.4433
