gbifID,abstract,accessRights,accrualMethod,accrualPeriodicity,accrualPolicy,alternative,audience,available,bibliographicCitation,conformsTo,contributor,coverage,created,creator,date,dateAccepted,dateCopyrighted,dateSubmitted,description,educationLevel,extent,format,hasFormat,hasPart,hasVersion,identifier,instructionalMethod,isFormatOf,isPartOf,isReferencedBy,isReplacedBy,isRequiredBy,isVersionOf,issued,language,license,mediator,medium,modified,provenance,publisher,references,relation,replaces,requires,rights,rightsHolder,source,spatial,subject,tableOfContents,temporal,title,type,valid,institutionID,collectionID,datasetID,institutionCode,collectionCode,datasetName,ownerInstitutionCode,basisOfRecord,informationWithheld,dataGeneralizations,dynamicProperties,occurrenceID,catalogNumber,recordNumber,recordedBy,recordedByID,individualCount,organismQuantity,organismQuantityType,sex,lifeStage,reproductiveCondition,behavior,establishmentMeans,degreeOfEstablishment,pathway,georeferenceVerificationStatus,occurrenceStatus,preparations,disposition,associatedOccurrences,associatedReferences,associatedSequences,associatedTaxa,otherCatalogNumbers,occurrenceRemarks,organismID,organismName,organismScope,associatedOrganisms,previousIdentifications,organismRemarks,materialSampleID,eventID,parentEventID,fieldNumber,eventDate,eventTime,startDayOfYear,endDayOfYear,year,month,day,verbatimEventDate,habitat,samplingProtocol,sampleSizeValue,sampleSizeUnit,samplingEffort,fieldNotes,eventRemarks,locationID,higherGeographyID,higherGeography,continent,waterBody,islandGroup,island,countryCode,stateProvince,county,municipality,locality,verbatimLocality,verbatimElevation,verticalDatum,verbatimDepth,minimumDistanceAboveSurfaceInMeters,maximumDistanceAboveSurfaceInMeters,locationAccordingTo,locationRemarks,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,coordinatePrecision,pointRadiusSpatialFit,verbatimCoordinateSystem,verbatimSRS,footprintWKT,footprintSRS,footprintSpatialFit,georeferencedBy,georeferencedDate,georeferenceProtocol,georeferenceSources,georeferenceRemarks,geologicalContextID,earliestEonOrLowestEonothem,latestEonOrHighestEonothem,earliestEraOrLowestErathem,latestEraOrHighestErathem,earliestPeriodOrLowestSystem,latestPeriodOrHighestSystem,earliestEpochOrLowestSeries,latestEpochOrHighestSeries,earliestAgeOrLowestStage,latestAgeOrHighestStage,lowestBiostratigraphicZone,highestBiostratigraphicZone,lithostratigraphicTerms,group,formation,member,bed,identificationID,verbatimIdentification,identificationQualifier,typeStatus,identifiedBy,identifiedByID,dateIdentified,identificationReferences,identificationVerificationStatus,identificationRemarks,taxonID,scientificNameID,acceptedNameUsageID,parentNameUsageID,originalNameUsageID,nameAccordingToID,namePublishedInID,taxonConceptID,scientificName,acceptedNameUsage,parentNameUsage,originalNameUsage,nameAccordingTo,namePublishedIn,namePublishedInYear,higherClassification,kingdom,phylum,class,order,family,subfamily,genus,genericName,subgenus,infragenericEpithet,specificEpithet,infraspecificEpithet,cultivarEpithet,taxonRank,verbatimTaxonRank,vernacularName,nomenclaturalCode,taxonomicStatus,nomenclaturalStatus,taxonRemarks,datasetKey,publishingCountry,lastInterpreted,elevation,elevationAccuracy,depth,depthAccuracy,distanceAboveSurface,distanceAboveSurfaceAccuracy,issue,mediaType,hasCoordinate,hasGeospatialIssues,taxonKey,acceptedTaxonKey,kingdomKey,phylumKey,classKey,orderKey,familyKey,genusKey,subgenusKey,speciesKey,species,acceptedScientificName,verbatimScientificName,typifiedName,protocol,lastParsed,lastCrawled,repatriated,relativeOrganismQuantity,level0Gid,level0Name,level1Gid,level1Name,level2Gid,level2Name,level3Gid,level3Name,iucnRedListCategory,species_name,x,y
2609171127,,,,,,,,,,,,,,,,,,,,,,,,,,42410469,,,,,,,,,,CC0_1_0,,,2020-07-17T13:52:41Z,,,https://www.inaturalist.org/observations/42410469,,,,,Patrick Alexander,,,,,,,,,,,,iNaturalist,Observations,iNaturalist research-grade observations,,HUMAN_OBSERVATION,,,,https://www.inaturalist.org/observations/42410469,42410469,,Patrick Alexander,https://orcid.org/0000-0001-5555-0972,,,,,,flowering|fruiting|flower budding,,,,,,PRESENT,,,,,,,,"<i>Heuchera woodsiaphila</i> on the northeast side of Capitan Peak, eastern Capitan Mountains, 33.5936 -105.2588, Lincoln County, New Mexico, 17 Jul 2006.",,,,,,,,,,,2006-07-17T00:00:00,,,,2006,7,17,2006-07-17,,,,,,,,,,,,,,,US,New Mexico,,,,"Lincoln County, US-NM, US",,,,,,,,33.5936,-105.2588,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95995492,,,,Patrick Alexander,https://orcid.org/0000-0001-5555-0972,2020-04-17T18:53:34,,,,622751,,,,,,,,Heuchera woodsiaphila P.J.Alexander,,,,,,,,Plantae,Tracheophyta,Magnoliopsida,Saxifragales,Saxifragaceae,,Heuchera,Heuchera,,,woodsiaphila,,,SPECIES,,,,ACCEPTED,,,50c9509d-22c7-4a22-a47d-8c48425ef4a7,US,2022-05-27T10:33:49.153Z,,,,,,,,StillImage,true,false,4926214,4926214,6,7707728,220,7219248,2402,3032645,,4926214,Heuchera woodsiaphila,Heuchera woodsiaphila P.J.Alexander,Heuchera woodsiaphila,,DWC_ARCHIVE,2022-05-27T10:33:49.153Z,2022-05-27T06:33:23.798Z,false,,USA,United States,USA.32_1,New Mexico,USA.32.15_1,Lincoln,,,NE,Heuchera woodsiaphila p.j.alexander,-105.2588,33.5936
2609107063,,,,,,,,,,,,,,,,,,,,,,,,,,42406122,,,,,,,,,,CC0_1_0,,,2020-12-28T02:06:30Z,,,https://www.inaturalist.org/observations/42406122,,,,,Patrick Alexander,,,,,,,,,,,,iNaturalist,Observations,iNaturalist research-grade observations,,HUMAN_OBSERVATION,,,,https://www.inaturalist.org/observations/42406122,42406122,,Patrick Alexander,https://orcid.org/0000-0001-5555-0972,,,,,,flowering|flower budding,,,,,,PRESENT,,,,,,,,"<i>Heuchera woodsiaphila</i> on the northeast side of Capitan Peak, eastern Capitan Mountains, 33.595 -105.259, Lincoln County, New Mexico, 4 Jul 2006.",,,,,,,,,,,2006-07-04T00:00:00,,,,2006,7,4,2006-07-04,,,,,,,,,,,,,,,US,New Mexico,,,,"Lincoln County, US-NM, US",,,,,,,,33.595,-105.259,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95987341,,,,Patrick Alexander,https://orcid.org/0000-0001-5555-0972,2020-04-17T18:01:12,,,,622751,,,,,,,,Heuchera woodsiaphila P.J.Alexander,,,,,,,,Plantae,Tracheophyta,Magnoliopsida,Saxifragales,Saxifragaceae,,Heuchera,Heuchera,,,woodsiaphila,,,SPECIES,,,,ACCEPTED,,,50c9509d-22c7-4a22-a47d-8c48425ef4a7,US,2022-05-27T11:30:19.312Z,,,,,,,,StillImage,true,false,4926214,4926214,6,7707728,220,7219248,2402,3032645,,4926214,Heuchera woodsiaphila,Heuchera woodsiaphila P.J.Alexander,Heuchera woodsiaphila,,DWC_ARCHIVE,2022-05-27T11:30:19.312Z,2022-05-27T06:33:23.798Z,false,,USA,United States,USA.32_1,New Mexico,USA.32.15_1,Lincoln,,,NE,Heuchera woodsiaphila p.j.alexander,-105.259,33.595
2332100711,,,,,,,,,,,,,,,,,,,,,,,,,,9257169,,,,,,,,,,CC0_1_0,,,2020-07-17T13:51:56Z,,,https://www.inaturalist.org/observations/9257169,,,,,Patrick Alexander,,,,,,,,,,,,iNaturalist,Observations,iNaturalist research-grade observations,,HUMAN_OBSERVATION,,,,https://www.inaturalist.org/observations/9257169,9257169,,Patrick Alexander,https://orcid.org/0000-0001-5555-0972,,,,,,flowering|flower budding,,,,,,PRESENT,,,,,,,,"<i>Heuchera woodsiaphila</i>, crest of the Capitan Mountains, east-southeast of the communication towers between Kelly Canyon and Sawmill Canyon, 33.5961 -105.3206, Lincoln County, New Mexico, 26 Jul 2014.",,,,,,,,,,,2014-07-26T00:00:00,,,,2014,7,26,2014-07-26,,,,,,,,,,,,,,,US,New Mexico,,,,33.5961 -105.3206,,,,,,,,33.5961,-105.3206,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20077395,,,,Patrick Alexander,https://orcid.org/0000-0001-5555-0972,2017-12-25T16:38:38,,,,622751,,,,,,,,Heuchera woodsiaphila P.J.Alexander,,,,,,,,Plantae,Tracheophyta,Magnoliopsida,Saxifragales,Saxifragaceae,,Heuchera,Heuchera,,,woodsiaphila,,,SPECIES,,,,ACCEPTED,,,50c9509d-22c7-4a22-a47d-8c48425ef4a7,US,2022-05-27T11:00:29.831Z,,,,,,,,StillImage,true,false,4926214,4926214,6,7707728,220,7219248,2402,3032645,,4926214,Heuchera woodsiaphila,Heuchera woodsiaphila P.J.Alexander,Heuchera woodsiaphila,,DWC_ARCHIVE,2022-05-27T11:00:29.831Z,2022-05-27T06:33:23.798Z,false,,USA,United States,USA.32_1,New Mexico,USA.32.15_1,Lincoln,,,NE,Heuchera woodsiaphila p.j.alexander,-105.3206,33.5961
2332002509,,,,,,,,,,,,,,,,,,,,,,,,,,9257116,,,,,,,,,,CC0_1_0,,,2020-07-17T13:52:10Z,,,https://www.inaturalist.org/observations/9257116,,,,,Patrick Alexander,,,,,,,,,,,,iNaturalist,Observations,iNaturalist research-grade observations,,HUMAN_OBSERVATION,,,,https://www.inaturalist.org/observations/9257116,9257116,,Patrick Alexander,https://orcid.org/0000-0001-5555-0972,,,,,,flowering|fruiting,,,,,,PRESENT,,,,,,,,"<i>Heuchera woodsiaphila</i>, crest of the Capitan Mountains, east-southeast of the communication towers between Kelly Canyon and Sawmill Canyon, 33.598 -105.330, Lincoln County, New Mexico, 26 Jul 2014.",,,,,,,,,,,2014-07-26T00:00:00,,,,2014,7,26,2014-07-26,,,,,,,,,,,,,,,US,New Mexico,,,,33.598 -105.330,,,,,,,,33.598,-105.33,200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20077405,,,,Patrick Alexander,https://orcid.org/0000-0001-5555-0972,2017-12-25T16:39:07,,,,622751,,,,,,,,Heuchera woodsiaphila P.J.Alexander,,,,,,,,Plantae,Tracheophyta,Magnoliopsida,Saxifragales,Saxifragaceae,,Heuchera,Heuchera,,,woodsiaphila,,,SPECIES,,,,ACCEPTED,,,50c9509d-22c7-4a22-a47d-8c48425ef4a7,US,2022-05-27T11:00:39.641Z,,,,,,,,StillImage,true,false,4926214,4926214,6,7707728,220,7219248,2402,3032645,,4926214,Heuchera woodsiaphila,Heuchera woodsiaphila P.J.Alexander,Heuchera woodsiaphila,,DWC_ARCHIVE,2022-05-27T11:00:39.641Z,2022-05-27T06:33:23.798Z,false,,USA,United States,USA.32_1,New Mexico,USA.32.15_1,Lincoln,,,NE,Heuchera woodsiaphila p.j.alexander,-105.33,33.598
