,omega,omega_proportional,psi,psi_average_proportional
Heuchera pilosissima,16.0,0.007568590350047304,104.0,0.11818181818181818
Asimitellaria pauciflora,25.0,0.011825922421948912,96.0,0.06981818181818182
Heuchera longiflora,23.0,0.010879848628192999,113.0,0.08932806324110672
Heuchera hirsutissima,2.0,0.000946073793755913,8.0,0.07272727272727272
Conimitella williamsii,36.0,0.017029328287606435,215.0,0.10858585858585859
Heuchera maxima,0.0,0.0,0.0,nan
Heuchera abramsii,1.0,0.0004730368968779565,4.0,0.07272727272727272
Tellima grandiflora,221.0,0.10454115421002838,1201.0,0.09880707527766351
Heuchera alba,5.0,0.0023651844843897824,20.0,0.07272727272727272
Heuchera glabra,245.0,0.11589403973509933,982.0,0.07287569573283859
Heuchera longipetala,34.0,0.01608325449385052,57.0,0.03048128342245989
Mitella nuda,925.0,0.43755912961210974,1859.0,0.03654054054054054
Heuchera glomerulata,11.0,0.005203405865657522,38.0,0.0628099173553719
Heuchera novomexicana,6.0,0.002838221381267739,23.0,0.0696969696969697
Brewerimitella breweri,94.0,0.04446546830652791,793.0,0.15338491295938103
Heuchera rubescens versicolor,100.0,0.04730368968779565,234.0,0.042545454545454546
Telesonix jamesii,22.0,0.010406811731315043,123.0,0.10165289256198347
Heuchera eastwoodiae,3.0,0.0014191106906338694,9.0,0.05454545454545454
Heuchera acutifolia,4.0,0.001892147587511826,11.0,0.05
Asimitellaria stylosa,22.0,0.010406811731315043,103.0,0.08512396694214876
Heuchera grossulariifolia,34.0,0.01608325449385052,261.0,0.139572192513369
Mitellastra caulescens,73.0,0.03453169347209082,657.0,0.16363636363636364
Heuchera rubescens,108.0,0.0510879848628193,485.0,0.08164983164983165
Heuchera missouriensis,22.0,0.010406811731315043,102.0,0.08429752066115702
Mitella diphylla,246.0,0.11636707663197729,679.0,0.05018477457501848
Heuchera woodsiaphila,0.0,0.0,0.0,nan
Pectiantia pentandra,398.0,0.18826868495742669,1940.0,0.08862494289629969
Lithophragma parviflorum,221.0,0.10454115421002838,1336.0,0.10991361579596874
Brewerimitella ovalis,35.0,0.016556291390728478,337.0,0.17506493506493506
Peltoboykinia tellimoides,6.0,0.002838221381267739,29.0,0.08787878787878788
Elmera racemosa,24.0,0.011352885525070956,241.0,0.18257575757575759
Heuchera soltisii,5.0,0.0023651844843897824,16.0,0.05818181818181818
Heuchera caroliniana,10.0,0.004730368968779565,34.0,0.06181818181818182
Heuchera parishii,0.0,0.0,0.0,nan
Heuchera inconstans,0.0,0.0,0.0,nan
Heuchera elegans,4.0,0.001892147587511826,16.0,0.07272727272727272
Heuchera merriamii,6.0,0.002838221381267739,64.0,0.19393939393939394
Heuchera cylindrica,128.0,0.06054872280037843,923.0,0.13110795454545454
Heuchera pulchella,0.0,0.0,0.0,nan
Heuchera villosa,61.0,0.028855250709555344,259.0,0.07719821162444113
Heuchera richardsonii,471.0,0.2228003784295175,978.0,0.03775332947307469
Heuchera sanguinea,29.0,0.013718070009460738,77.0,0.04827586206896552
Asimitellaria furusei,24.0,0.011352885525070956,110.0,0.08333333333333333
Heuchera mexicana,71.0,0.03358561967833491,135.0,0.034571062740076826
Heuchera micrantha,117.0,0.05534531693472091,846.0,0.13146853146853146
Heuchera parviflora,20.0,0.00946073793755913,100.0,0.09090909090909091
Ozomelis stauropetala,79.0,0.03736991485335856,540.0,0.12428078250863062
Heuchera caespitosa,4.0,0.001892147587511826,13.0,0.05909090909090909
Heuchera rosendahlii,0.0,0.0,0.0,nan
Bensoniella oregona,5.0,0.0023651844843897824,52.0,0.1890909090909091
Heuchera bracteata,4.0,0.001892147587511826,25.0,0.11363636363636363
Heuchera hallii,6.0,0.002838221381267739,32.0,0.09696969696969697
Heuchera parvifolia,193.0,0.0912961210974456,794.0,0.07479981158737635
Mitella japonica,20.0,0.00946073793755913,89.0,0.0809090909090909
Heuchera puberula,10.0,0.004730368968779565,43.0,0.07818181818181819
Heuchera wellsiae,0.0,0.0,0.0,nan
Heuchera pubescens,17.0,0.00804162724692526,62.0,0.06631016042780749
Heuchera brevistaminea,2.0,0.000946073793755913,7.0,0.06363636363636363
Heuchera chlorantha,23.0,0.010879848628192999,236.0,0.1865612648221344
Tiarella polyphylla,325.0,0.15373699148533584,434.0,0.02427972027972028
Heuchera americana,192.0,0.09082308420056764,528.0,0.05
Heuchera wootonii,2.0,0.000946073793755913,7.0,0.06363636363636363
